Jack;Nicholson
Ralph;Fiennes
Daniel;Day-Lewis
Robert;De Niro
Al;Pacino
Dustin;Hoffman
Tom;Hanks
Brad;Pitt
Anthony;Hopkins
Marlon;Brando
Jeremy;Irons
Denzel;Washington
Gene;Hackman
Jeff;Bridges
Tim;Robbins
Henry;Fonda
William;Hurt
Kevin;Costner
Clint;Eastwood
Leonardo;DiCaprio
Mel;Gibson
Robert;Duvall
Tommy;Lee Jones
Kevin;Spacey
Nicolas;Cage
Kevin;Kline
Morgan;Freeman
Michael;Caine
Russell;Crowe
Bruce;Willis
Johnny;Depp
Ben;Kingsley
Steve;McQueen
Tom;Cruise
Heath;Ledger
John;Malkovich
Christian;Bale
Richard;Dreyfuss
Jason;Robards
Colin;Firth
George;Clooney
Edward;Norton
Sean;Connery
Yves;Montand
Richard;Gere
Gary;Oldman
Harrison;Ford
Matt;Damon